,Harga produsen,Harga pedagang
2024-02-19,23500.0,24000.0
2024-02-20,23500.0,24000.0
2024-02-21,23500.0,24000.0
2024-02-22,23500.0,27500.0
2024-02-23,23500.0,27500.0
2024-02-26,26350.0,27500.0
2024-02-27,26350.0,27500.0
2024-02-28,26350.0,27500.0
2024-02-29,26350.0,27500.0
2024-03-01,26350.0,27500.0
2024-03-04,26350.0,27500.0
2024-03-05,26350.0,27500.0
2024-03-06,26350.0,27500.0
2024-03-07,26350.0,27750.0
2024-03-08,26350.0,27750.0
2024-03-11,26350.0,27750.0
2024-03-12,26350.0,27750.0
2024-03-13,26350.0,27750.0
2024-03-14,26350.0,28000.0
2024-03-15,26350.0,28000.0
2024-03-18,26350.0,28000.0
2024-03-19,26350.0,28000.0
2024-03-20,26350.0,28000.0
2024-03-21,26350.0,29000.0
2024-03-22,26350.0,29000.0
2024-03-25,25350.0,29000.0
2024-03-26,25350.0,29000.0
2024-03-27,25350.0,29000.0
2024-03-28,25350.0,28250.0
2024-03-29,25350.0,28250.0
2024-04-01,25350.0,28250.0
2024-04-02,25350.0,28250.0
2024-04-03,25350.0,28250.0
2024-04-04,25350.0,26750.0
2024-04-05,25350.0,26750.0
2024-04-08,25350.0,26750.0
2024-04-09,25350.0,26750.0
2024-04-10,25350.0,26750.0
2024-04-11,25350.0,26750.0
2024-04-12,25350.0,26750.0
2024-04-15,25350.0,26750.0
2024-04-16,25350.0,26750.0
2024-04-17,25350.0,26750.0
2024-04-18,25350.0,26750.0
2024-04-19,25350.0,26750.0
2024-04-22,25350.0,26750.0
2024-04-23,25350.0,26750.0
2024-04-24,25350.0,26750.0
2024-04-25,24900.0,25200.0
2024-04-26,24900.0,25200.0
2024-04-29,24900.0,25200.0
2024-04-30,24900.0,25200.0
2024-05-01,24900.0,25200.0
2024-05-02,24900.0,25200.0
2024-05-03,24900.0,25200.0
2024-05-06,24900.0,25200.0
2024-05-07,24900.0,25200.0
2024-05-08,24900.0,25200.0
2024-05-09,24900.0,25200.0
2024-05-16,24900.0,27250.0
2024-05-17,24900.0,27250.0
2024-05-20,24900.0,27250.0
2024-05-21,24900.0,27250.0
2024-05-22,24900.0,27250.0
2024-05-23,24900.0,27250.0
2024-05-24,25450.0,27250.0
2024-05-27,25550.0,27250.0
2024-05-28,25550.0,27250.0
2024-05-29,25550.0,27250.0
2024-05-30,25450.0,27500.0
2024-05-31,25450.0,27500.0
2024-06-03,25450.0,27500.0
2024-06-04,25450.0,27500.0
2024-06-05,25450.0,27500.0
2024-06-06,25450.0,27250.0
2024-06-07,25450.0,27250.0
2024-06-10,25450.0,27250.0
2024-06-11,25450.0,27250.0
2024-06-12,25450.0,27250.0
2024-06-13,25450.0,27250.0
2024-06-14,25450.0,27250.0
2024-06-17,25450.0,27250.0
2024-06-18,25450.0,27250.0
2024-06-19,25450.0,27250.0
2024-06-20,25450.0,27000.0
2024-06-21,25450.0,27000.0
2024-06-24,25450.0,27000.0
2024-06-25,25450.0,27000.0
2024-06-26,25450.0,27000.0
2024-06-27,25450.0,27000.0
2024-06-28,25450.0,27000.0
2024-07-01,25450.0,27000.0
2024-07-02,25450.0,27000.0
2024-07-03,25450.0,27000.0
2024-07-04,25450.0,27000.0
2024-07-05,25450.0,27000.0
2024-07-08,25450.0,27000.0
2024-07-09,25450.0,27000.0
2024-07-10,25450.0,27000.0
2024-07-11,25450.0,24750.0
2024-07-12,25450.0,24750.0
2024-07-15,25450.0,24750.0
2024-07-16,25450.0,24750.0
2024-07-17,25450.0,24750.0
2024-07-18,25450.0,24500.0
2024-07-19,25450.0,24500.0
